BuildingSyncPath,State,RequiredValues,RequiredPairedElement
Audits.Audit,Required,,
Audits.Audit.Sites,Required,,
Audits.Audit.Sites.Site,Required,,
Audits.Audit.Sites.Site.ClimateZoneType,,,
Audits.Audit.Sites.Site.ClimateZoneType.ASHRAE,,,
Audits.Audit.Sites.Site.ClimateZoneType.ASHRAE.ClimateZone,,,
Audits.Audit.Sites.Site.ClimateZoneType.EnergyStar,,,
Audits.Audit.Sites.Site.ClimateZoneType.EnergyStar.ClimateZone,,,
Audits.Audit.Sites.Site.ClimateZoneType.CaliforniaTitle24,,,
Audits.Audit.Sites.Site.ClimateZoneType.CaliforniaTitle24.ClimateZone,,,
Audits.Audit.Sites.Site.ClimateZoneType.IECC,,,
Audits.Audit.Sites.Site.ClimateZoneType.IECC.ClimateZone,,,
Audits.Audit.Sites.Site.ClimateZoneType.BuildingAmerica,,,
Audits.Audit.Sites.Site.ClimateZoneType.BuildingAmerica.ClimateZone,,,
Audits.Audit.Sites.Site.ClimateZoneType.CBECS,,,
Audits.Audit.Sites.Site.ClimateZoneType.CBECS.ClimateZone,,,
Audits.Audit.Sites.Site.ClimateZoneType.DOE,,,
Audits.Audit.Sites.Site.ClimateZoneType.DOE.ClimateZone,,,
Audits.Audit.Sites.Site.ClimateZoneType.Other,,,
Audits.Audit.Sites.Site.ClimateZoneType.Other.ClimateZone,,,
